Hz,real,imaginary,V^2 (rms)
9.999990,7.159505E-8,7.159505E-8,1.012507E-7
10.057721,3.373159E-8,3.373159E-8,4.770367E-8
10.115785,1.589244E-8,1.589244E-8,2.247530E-8
10.174184,7.487630E-9,7.487630E-9,1.058911E-8
10.232920,3.527751E-9,3.527751E-9,4.988993E-9
10.291995,7.203254E-9,7.203254E-9,1.018694E-8
10.351412,1.470820E-8,1.470820E-8,2.080054E-8
10.411171,3.003242E-8,3.003242E-8,4.247226E-8
10.471275,6.132266E-8,6.132266E-8,8.672334E-8
10.531727,6.013542E-8,6.013542E-8,8.504433E-8
10.592527,5.897116E-8,5.897116E-8,8.339781E-8
10.653678,5.782944E-8,5.782944E-8,8.178318E-8
10.715183,5.670983E-8,5.670983E-8,8.019981E-8
10.777042,5.181758E-8,5.181758E-8,7.328112E-8
10.839258,4.734738E-8,4.734738E-8,6.695931E-8
10.901834,4.326281E-8,4.326281E-8,6.118285E-8
10.964771,3.953060E-8,3.953060E-8,5.590471E-8
11.028071,3.204635E-8,3.204635E-8,4.532038E-8
11.091737,2.597908E-8,2.597908E-8,3.673997E-8
11.155770,2.106051E-8,2.106051E-8,2.978406E-8
11.220173,1.707317E-8,1.707317E-8,2.414511E-8
11.284948,1.741521E-8,1.741521E-8,2.462883E-8
11.350097,1.776410E-8,1.776410E-8,2.512223E-8
11.415622,1.811998E-8,1.811998E-8,2.562552E-8
11.481525,1.848299E-8,1.848299E-8,2.613890E-8
11.547808,1.950250E-8,1.950250E-8,2.758070E-8
11.614474,2.057824E-8,2.057824E-8,2.910203E-8
11.681525,2.171333E-8,2.171333E-8,3.070729E-8
11.748964,2.291103E-8,2.291103E-8,3.240109E-8
11.816791,2.193757E-8,2.193757E-8,3.102441E-8
11.885010,2.100546E-8,2.100546E-8,2.970621E-8
11.953623,2.011296E-8,2.011296E-8,2.844402E-8
12.022632,1.925838E-8,1.925838E-8,2.723546E-8
12.092039,1.927911E-8,1.927911E-8,2.726478E-8
12.161847,1.929987E-8,1.929987E-8,2.729414E-8
12.232059,1.932064E-8,1.932064E-8,2.732351E-8
12.302675,1.934144E-8,1.934144E-8,2.735293E-8
12.373699,1.989060E-8,1.989060E-8,2.812956E-8
12.445133,2.045536E-8,2.045536E-8,2.892825E-8
12.516980,2.103615E-8,2.103615E-8,2.974961E-8
12.589241,2.163342E-8,2.163342E-8,3.059428E-8
12.661919,2.402348E-8,2.402348E-8,3.397433E-8
12.735017,2.667759E-8,2.667759E-8,3.772781E-8
12.808537,2.962492E-8,2.962492E-8,4.189596E-8
12.882482,3.289788E-8,3.289788E-8,4.652463E-8
12.956853,2.908230E-8,2.908230E-8,4.112858E-8
13.031654,2.570927E-8,2.570927E-8,3.635840E-8
13.106887,2.272744E-8,2.272744E-8,3.214145E-8
13.182553,2.009147E-8,2.009147E-8,2.841363E-8
13.258657,2.161090E-8,2.161090E-8,3.056243E-8
13.335200,2.324525E-8,2.324525E-8,3.287375E-8
13.412185,2.500320E-8,2.500320E-8,3.535986E-8
13.489614,2.689410E-8,2.689410E-8,3.803400E-8
13.567491,2.657925E-8,2.657925E-8,3.758874E-8
13.645817,2.626808E-8,2.626808E-8,3.714867E-8
13.724595,2.596056E-8,2.596056E-8,3.671378E-8
13.803828,2.565664E-8,2.565664E-8,3.628397E-8
13.883518,2.418443E-8,2.418443E-8,3.420195E-8
13.963668,2.279670E-8,2.279670E-8,3.223940E-8
14.044282,2.148860E-8,2.148860E-8,3.038947E-8
14.125360,2.025556E-8,2.025556E-8,2.864569E-8
14.206907,2.439599E-8,2.439599E-8,3.450114E-8
14.288924,2.938277E-8,2.938277E-8,4.155351E-8
14.371415,3.538890E-8,3.538890E-8,5.004746E-8
14.454382,4.262273E-8,4.262273E-8,6.027764E-8
14.537828,3.701282E-8,3.701282E-8,5.234403E-8
14.621756,3.214127E-8,3.214127E-8,4.545462E-8
14.706168,2.791091E-8,2.791091E-8,3.947199E-8
14.791067,2.423734E-8,2.423734E-8,3.427677E-8
14.876457,2.046618E-8,2.046618E-8,2.894355E-8
14.962340,1.728178E-8,1.728178E-8,2.444013E-8
15.048718,1.459286E-8,1.459286E-8,2.063742E-8
15.135596,1.232231E-8,1.232231E-8,1.742638E-8
15.222974,1.643730E-8,1.643730E-8,2.324585E-8
15.310857,2.192647E-8,2.192647E-8,3.100871E-8
15.399248,2.924873E-8,2.924873E-8,4.136395E-8
