Hz,real,imaginary,unitless (peak only)
9.999990,-1.909312E+0,-3.612582E-1,1.943188E+0
10.057721,-1.455616E+0,-1.604020E-1,1.464427E+0
10.115785,-1.103039E+0,-3.586910E-2,1.103622E+0
10.174184,-8.308803E-1,3.719717E-2,8.317125E-1
10.232920,-6.221382E-1,7.626949E-2,6.267958E-1
10.291995,-6.798319E-1,1.278408E-1,6.917476E-1
10.351412,-7.397400E-1,1.887054E-1,7.634298E-1
10.411171,-8.014323E-1,2.599617E-1,8.425401E-1
10.471275,-8.643578E-1,3.427891E-1,9.298488E-1
10.531727,-9.463960E-1,3.263810E-1,1.001094E+0
10.592527,-1.033826E+0,3.047200E-1,1.077799E+0
10.653678,-1.126798E+0,2.771456E-1,1.160381E+0
10.715183,-1.225440E+0,2.429396E-1,1.249289E+0
10.777042,-1.182401E+0,2.341722E-1,1.205367E+0
10.839258,-1.140874E+0,2.257210E-1,1.162989E+0
10.901834,-1.100806E+0,2.175745E-1,1.122102E+0
10.964771,-1.062145E+0,2.097225E-1,1.082652E+0
11.028071,-1.066698E+0,1.547080E-1,1.077859E+0
11.091737,-1.068437E+0,9.977745E-2,1.073086E+0
11.155770,-1.067383E+0,4.507283E-2,1.068334E+0
11.220173,-1.063563E+0,-9.266051E-3,1.063603E+0
11.284948,-1.087753E+0,1.375966E-2,1.087840E+0
11.350097,-1.111985E+0,3.783316E-2,1.112628E+0
11.415622,-1.136239E+0,6.297900E-2,1.137983E+0
11.481525,-1.160490E+0,8.922191E-2,1.163915E+0
11.547808,-1.168372E+0,6.268595E-2,1.170052E+0
11.614474,-1.175677E+0,3.583395E-2,1.176223E+0
11.681525,-1.182394E+0,8.677712E-3,1.182426E+0
11.748964,-1.188513E+0,-1.877024E-2,1.188661E+0
11.816791,-1.169736E+0,-1.325195E-2,1.169811E+0
11.885010,-1.151232E+0,-7.903716E-3,1.151259E+0
11.953623,-1.132998E+0,-2.721619E-3,1.133001E+0
12.022632,-1.115032E+0,2.298070E-3,1.115034E+0
12.092039,-1.127580E+0,6.137027E-3,1.127597E+0
12.161847,-1.140257E+0,1.006213E-2,1.140301E+0
12.232059,-1.153063E+0,1.407478E-2,1.153149E+0
12.302675,-1.166001E+0,1.817644E-2,1.166143E+0
12.373699,-1.179148E+0,1.725478E-2,1.179274E+0
12.445133,-1.192442E+0,1.631004E-2,1.192554E+0
12.516980,-1.205885E+0,1.534182E-2,1.205983E+0
12.589241,-1.219478E+0,1.434980E-2,1.219562E+0
12.661919,-1.211255E+0,1.378341E-2,1.211333E+0
12.735017,-1.203088E+0,1.322402E-2,1.203161E+0
12.808537,-1.194975E+0,1.267154E-2,1.195042E+0
12.882482,-1.186919E+0,1.212590E-2,1.186981E+0
12.956853,-1.192509E+0,2.583097E-2,1.192789E+0
13.031654,-1.197969E+0,3.966650E-2,1.198626E+0
13.106887,-1.203297E+0,5.363160E-2,1.204492E+0
13.182553,-1.208490E+0,6.772496E-2,1.210386E+0
13.258657,-1.209083E+0,7.017650E-2,1.211118E+0
13.335200,-1.209670E+0,7.263072E-2,1.211848E+0
13.412185,-1.210253E+0,7.508756E-2,1.212580E+0
13.489614,-1.210833E+0,7.754742E-2,1.213314E+0
13.567491,-1.214237E+0,7.185780E-2,1.216361E+0
13.645817,-1.217623E+0,6.613736E-2,1.219418E+0
13.724595,-1.220988E+0,6.038619E-2,1.222480E+0
13.803828,-1.224334E+0,5.460421E-2,1.225551E+0
13.883518,-1.224751E+0,6.089803E-2,1.226264E+0
13.963668,-1.225136E+0,6.719755E-2,1.226977E+0
14.044282,-1.225488E+0,7.350262E-2,1.227690E+0
14.125360,-1.225810E+0,7.981305E-2,1.228406E+0
14.206907,-1.224090E+0,7.901631E-2,1.226638E+0
14.288924,-1.222373E+0,7.822166E-2,1.224873E+0
14.371415,-1.220657E+0,7.742913E-2,1.223110E+0
14.454382,-1.218944E+0,7.663859E-2,1.221351E+0
14.537828,-1.218666E+0,7.071503E-2,1.220716E+0
14.621756,-1.218359E+0,6.479593E-2,1.220081E+0
14.706168,-1.218024E+0,5.888147E-2,1.219446E+0
14.791067,-1.217659E+0,5.297219E-2,1.218811E+0
14.876457,-1.223544E+0,4.818337E-2,1.224492E+0
14.962340,-1.229437E+0,4.334795E-2,1.230201E+0
15.048718,-1.235337E+0,3.846564E-2,1.235936E+0
15.135596,-1.241244E+0,3.353599E-2,1.241697E+0
15.222974,-1.242220E+0,3.146537E-2,1.242618E+0
15.310857,-1.243193E+0,2.939159E-2,1.243540E+0
15.399248,-1.244164E+0,2.731462E-2,1.244464E+0
15.488149,-1.245130E+0,2.523440E-2,1.245386E+0
15.577563,-1.249652E+0,2.705156E-2,1.249945E+0
