Hz,real,imaginary,unitless (peak only)
9.999990,-6.970681E-5,-1.791613E-5,7.197240E-5
10.028814,-6.907624E-5,-3.416314E-6,6.916067E-5
10.057721,-6.568503E-5,1.011163E-5,6.645877E-5
10.086711,-5.988258E-5,2.219205E-5,6.386243E-5
10.115785,-5.208956E-5,3.244458E-5,6.136752E-5
10.144942,-5.559329E-5,1.641980E-5,5.796744E-5
10.174184,-5.474750E-5,9.483864E-7,5.475571E-5
10.203510,-5.008127E-5,-1.292387E-5,5.172195E-5
10.232920,-4.233956E-5,-2.437809E-5,4.885621E-5
10.262415,-2.928177E-5,-4.520540E-5,5.386047E-5
10.291995,-5.998926E-6,-5.907349E-5,5.937730E-5
10.321661,2.381653E-5,-6.097278E-5,6.545920E-5
10.351412,5.402326E-5,-4.784510E-5,7.216416E-5
10.381248,3.024143E-5,-5.274076E-5,6.079582E-5
10.411171,9.938800E-6,-5.024483E-5,5.121838E-5
10.441180,-5.596102E-6,-4.278532E-5,4.314974E-5
10.471275,-1.598847E-5,-3.264733E-5,3.635216E-5
10.501458,-3.297504E-5,-2.359009E-5,4.054437E-5
10.531727,-4.485829E-5,-5.708121E-6,4.522000E-5
10.562083,-4.706097E-5,1.813672E-5,5.043486E-5
10.592527,-3.660391E-5,4.271228E-5,5.625109E-5
10.623059,-4.658936E-5,3.418160E-5,5.778365E-5
10.653678,-5.458672E-5,2.331648E-5,5.935797E-5
10.684386,-6.005020E-5,1.058027E-5,6.097515E-5
10.715183,-6.254211E-5,-3.436111E-6,6.263643E-5
10.746068,-5.770954E-5,1.897362E-6,5.774072E-5
10.777042,-5.284097E-5,6.404633E-6,5.322769E-5
10.808106,-4.800605E-5,1.015030E-5,4.906740E-5
10.839259,-4.326359E-5,1.319932E-5,4.523229E-5
10.870502,-4.220874E-5,4.870802E-6,4.248885E-5
10.901835,-3.982399E-5,-2.645854E-6,3.991179E-5
10.933258,-3.634796E-5,-9.187216E-6,3.749105E-5
10.964772,-3.202871E-5,-1.464267E-5,3.521713E-5
10.996376,-3.871065E-5,-8.849222E-6,3.970923E-5
11.028072,-4.476474E-5,-9.255031E-7,4.477431E-5
11.059859,-4.963885E-5,9.206904E-6,5.048547E-5
11.091738,-5.270536E-5,2.150843E-5,5.692510E-5
11.123708,-6.085855E-5,1.206709E-5,6.204335E-5
11.155771,-6.762125E-5,2.721592E-7,6.762180E-5
11.187926,-7.240744E-5,-1.375222E-5,7.370184E-5
11.220174,-7.461581E-5,-2.975148E-5,8.032851E-5
11.252515,-5.998553E-5,-1.228450E-5,6.123049E-5
11.284949,-4.665889E-5,-1.147377E-6,4.667300E-5
11.317476,-3.516189E-5,5.415895E-6,3.557654E-5
11.350097,-2.565291E-5,8.793600E-6,2.711824E-5
11.382813,-3.459211E-5,6.977853E-6,3.528887E-5
11.415622,-4.581561E-5,3.113616E-6,4.592129E-5
11.448526,-5.963738E-5,-3.782266E-6,5.975720E-5
11.481525,-7.629519E-5,-1.503163E-5,7.776185E-5
11.514619,-5.879274E-5,1.473473E-5,6.061104E-5
11.547809,-3.656625E-5,2.991330E-5,4.724295E-5
11.581094,-1.585250E-5,3.323626E-5,3.682324E-5
11.614475,-1.423199E-7,2.870131E-5,2.870166E-5
11.647952,-1.117197E-5,1.990579E-5,2.282659E-5
11.681526,-1.544936E-5,9.533580E-6,1.815411E-5
11.715197,-1.442251E-5,6.698787E-7,1.443806E-5
11.748964,-1.028875E-5,-5.098344E-6,1.148266E-5
11.782829,-1.642017E-5,-5.121748E-6,1.720042E-5
11.816792,-2.549625E-5,-3.713888E-6,2.576532E-5
11.850852,-3.859179E-5,5.040687E-7,3.859508E-5
11.885011,-5.697246E-5,9.824807E-6,5.781339E-5
11.919268,-4.693776E-5,3.352834E-6,4.705736E-5
11.953624,-3.828728E-5,-1.077996E-6,3.830245E-5
11.988079,-3.092290E-5,-3.967519E-6,3.117638E-5
12.022633,-2.472475E-5,-5.712635E-6,2.537612E-5
12.057287,-2.855753E-5,-1.058512E-5,3.045615E-5
12.092040,-3.237415E-5,-1.697198E-5,3.655316E-5
12.126894,-3.593970E-5,-2.515908E-5,4.387073E-5
12.161848,-3.893079E-5,-3.545069E-5,5.265318E-5
12.196903,-4.651352E-5,-2.622218E-5,5.339579E-5
12.232060,-5.191811E-5,-1.538213E-5,5.414887E-5
12.267317,-5.480456E-5,-3.442626E-6,5.491258E-5
12.302676,-5.495281E-5,9.013167E-6,5.568706E-5
12.338137,-5.283445E-5,7.841312E-6,5.341316E-5
12.373700,-5.078568E-5,6.748386E-6,5.123208E-5
12.409366,-4.880485E-5,5.730139E-6,4.914008E-5
12.445134,-4.689021E-5,4.782528E-6,4.713347E-5
12.481006,-3.115628E-5,1.344050E-5,3.393171E-5
12.516981,-1.847880E-5,1.597640E-5,2.442768E-5
12.553059,-9.225821E-6,1.497129E-5,1.758566E-5
12.589242,-3.090956E-6,1.227690E-5,1.266003E-5
12.625529,-1.356756E-5,1.732853E-5,2.200810E-5
12.661921,-3.377650E-5,1.796877E-5,3.825871E-5
12.698417,-6.633975E-5,4.737421E-6,6.650869E-5
12.735019,-1.087535E-4,-3.924632E-5,1.156183E-4
12.771726,-8.357693E-5,-3.018648E-5,8.886128E-5
12.808539,-6.422882E-5,-2.321805E-5,6.829655E-5
12.845458,-4.935975E-5,-1.785825E-5,5.249097E-5
12.882483,-3.793292E-5,-1.373573E-5,4.034324E-5
12.919615,-3.463994E-5,-7.695015E-7,3.464849E-5
12.956855,-2.840202E-5,8.879129E-6,2.975758E-5
12.994201,-2.067782E-5,1.501972E-5,2.555708E-5
13.031655,-1.270666E-5,1.789750E-5,2.194948E-5
13.069218,-1.606134E-5,8.356610E-6,1.810524E-5
13.106888,-1.493400E-5,9.094121E-8,1.493428E-5
13.144667,-1.099645E-5,-5.552270E-6,1.231867E-5
13.182555,-5.982824E-6,-8.213110E-6,1.016117E-5
13.220552,-1.541202E-5,-9.300015E-6,1.800057E-5
13.258659,-3.155518E-5,-4.596163E-6,3.188815E-5
13.296875,-5.468242E-5,1.417606E-5,5.649007E-5
13.335202,-7.954760E-5,6.071825E-5,1.000726E-4
13.373639,-8.473887E-5,2.881212E-5,8.950315E-5
13.412187,-8.004955E-5,2.834198E-7,8.005005E-5
13.450846,-6.794579E-5,-2.256682E-5,7.159533E-5
13.489616,-5.117404E-5,-3.849042E-5,6.403354E-5
13.528498,-6.308510E-5,-2.324804E-5,6.723244E-5
13.567492,-7.045859E-5,-4.323040E-6,7.059109E-5
13.606599,-7.215700E-5,1.693456E-5,7.411756E-5
13.645818,-6.744416E-5,3.882357E-5,7.782020E-5
13.685151,-5.604752E-5,2.751562E-5,6.243744E-5
13.724597,-4.632569E-5,1.906522E-5,5.009543E-5
13.764156,-3.809573E-5,1.281397E-5,4.019306E-5
13.803829,-3.117642E-5,8.244451E-6,3.224810E-5
13.843617,-2.677783E-5,2.059547E-5,3.378203E-5
13.883520,-1.752464E-5,3.074513E-5,3.538893E-5
13.923537,-4.473514E-6,3.680134E-5,3.707224E-5
13.963670,1.058814E-5,3.736438E-5,3.883562E-5
14.003919,-1.798128E-6,3.958653E-5,3.962735E-5
14.044283,-1.450576E-5,3.774372E-5,4.043520E-5
14.084764,-2.621374E-5,3.186201E-5,4.125952E-5
14.125362,-3.565152E-5,2.239265E-5,4.210061E-5
14.166077,-4.251982E-5,2.453409E-5,4.909029E-5
14.206909,-5.061637E-5,2.672917E-5,5.724042E-5
14.247858,-6.014643E-5,2.893307E-5,6.674366E-5
14.288926,-7.134724E-5,3.108464E-5,7.782470E-5
14.330112,-6.106919E-5,2.336323E-5,6.538567E-5
14.371417,-5.214786E-5,1.727537E-5,5.493485E-5
14.412841,-4.442757E-5,1.250672E-5,4.615438E-5
14.454384,-3.776579E-5,8.799363E-6,3.877736E-5
14.496047,-4.183155E-5,1.144636E-5,4.336932E-5
14.537830,-4.626248E-5,1.457820E-5,4.850506E-5
14.579734,-5.108081E-5,1.826752E-5,5.424898E-5
14.621758,-5.630828E-5,2.259638E-5,6.067305E-5
14.663903,-5.389633E-5,2.215558E-5,5.827250E-5
14.706170,-5.158343E-5,2.171279E-5,5.596691E-5
14.748559,-4.936572E-5,2.126888E-5,5.375258E-5
14.791070,-4.723940E-5,2.082470E-5,5.162586E-5
14.833703,-4.848402E-5,6.630433E-7,4.848855E-5
14.876460,-4.215916E-5,-1.722414E-5,4.554191E-5
14.919339,-3.012517E-5,-3.036638E-5,4.277433E-5
14.962342,-1.489727E-5,-3.731081E-5,4.017493E-5
15.005469,-3.375916E-5,-3.430947E-5,4.813336E-5
15.048721,-5.320430E-5,-2.224710E-5,5.766828E-5
15.092097,-6.909196E-5,9.554036E-8,6.909203E-5
15.135598,-7.628241E-5,3.214511E-5,8.277871E-5
15.179225,-6.305506E-5,2.785991E-5,6.893559E-5
15.222977,-5.210283E-5,2.410208E-5,5.740745E-5
15.266855,-4.303741E-5,2.081601E-5,4.780716E-5
15.310860,-3.553629E-5,1.794982E-5,3.981236E-5
15.354992,-4.247664E-5,2.180223E-5,4.774518E-5
15.399251,-5.076976E-5,2.647611E-5,5.725865E-5
15.443637,-6.067879E-5,3.214564E-5,6.866773E-5
15.488151,-7.251794E-5,3.902174E-5,8.235015E-5
15.532794,-6.623774E-5,3.632447E-5,7.554406E-5
15.577565,-6.049642E-5,3.380440E-5,6.930046E-5
15.622466,-5.524817E-5,3.145078E-5,6.357289E-5
15.667496,-5.045097E-5,2.925349E-5,5.831867E-5
15.712655,-5.044735E-5,3.562643E-5,6.175903E-5
15.757945,-4.984087E-5,4.234803E-5,6.540235E-5
15.803366,-4.856553E-5,4.938033E-5,6.926058E-5
15.848917,-4.655532E-5,5.667711E-5,7.334639E-5
15.894599,-4.816851E-5,4.734427E-5,6.754025E-5
15.940414,-4.873321E-5,3.864108E-5,6.219372E-5
15.986360,-4.839943E-5,3.061693E-5,5.727042E-5
16.032439,-4.730930E-5,2.330239E-5,5.273681E-5
16.078650,-5.129111E-5,2.005240E-5,5.507156E-5
16.124995,-5.514612E-5,1.631781E-5,5.750970E-5
16.171473,-5.882621E-5,1.209022E-5,6.005578E-5
16.218086,-6.228061E-5,7.365131E-6,6.271459E-5
16.264832,-5.767956E-5,2.013240E-5,6.109210E-5
16.311714,-5.061259E-5,3.130490E-5,5.951160E-5
16.358730,-4.153653E-5,4.044090E-5,5.797197E-5
16.405882,-3.097900E-5,4.721659E-5,5.647216E-5
16.453170,-3.510314E-5,3.989899E-5,5.314282E-5
16.500594,-3.797872E-5,3.253605E-5,5.000978E-5
16.548155,-3.968499E-5,2.529587E-5,4.706144E-5
16.595853,-4.031801E-5,1.832457E-5,4.428693E-5
16.643689,-4.711992E-5,1.460796E-5,4.933234E-5
16.691662,-5.411657E-5,9.548812E-6,5.495255E-5
16.739774,-6.114053E-5,2.978777E-6,6.121305E-5
16.788024,-6.798325E-5,-5.264771E-6,6.818680E-5
16.836414,-5.439367E-5,1.130947E-6,5.440543E-5
16.884942,-4.310313E-5,5.147754E-6,4.340944E-5
16.933611,-3.382403E-5,7.455196E-6,3.463589E-5
16.982420,-2.627560E-5,8.562447E-6,2.763553E-5
17.031370,-2.454950E-5,8.634581E-6,2.602372E-5
17.080461,-2.292292E-5,8.664798E-6,2.450590E-5
17.129693,-2.139097E-5,8.657726E-6,2.307661E-5
17.179067,-1.994890E-5,8.617631E-6,2.173067E-5
17.228584,-2.180163E-5,8.572236E-6,2.342636E-5
17.278243,-2.379622E-5,8.457131E-6,2.525437E-5
17.328046,-2.594116E-5,8.261844E-6,2.722502E-5
17.377992,-2.824521E-5,7.974797E-6,2.934943E-5
17.428082,-2.846600E-5,2.003071E-5,3.480722E-5
17.478316,-2.397176E-5,3.360636E-5,4.127993E-5
17.528695,-1.360443E-5,4.702807E-5,4.895631E-5
17.579219,3.273431E-6,5.796781E-5,5.806016E-5
17.629889,-1.376735E-5,5.299503E-5,5.475412E-5
17.680705,-2.763576E-5,4.361850E-5,5.163631E-5
17.731668,-3.738640E-5,3.120198E-5,4.869606E-5
17.782777,-4.256333E-5,1.724253E-5,4.592322E-5
17.834034,-4.669838E-5,2.373781E-5,5.238533E-5
17.885438,-5.076626E-5,3.152235E-5,5.975677E-5
17.936991,-5.463235E-5,4.076567E-5,6.816549E-5
17.988692,-5.812715E-5,5.164733E-5,7.775739E-5
18.040542,-6.079542E-5,5.270541E-5,8.046082E-5
18.092542,-6.356962E-5,5.376655E-5,8.325826E-5
18.144691,-6.645343E-5,5.482947E-5,8.615294E-5
18.196991,-6.945072E-5,5.589289E-5,8.914829E-5
18.249442,-6.656758E-5,4.091558E-5,7.813659E-5
18.302044,-6.240413E-5,2.821214E-5,6.848504E-5
18.354797,-5.737908E-5,1.762734E-5,6.002568E-5
18.407702,-5.183923E-5,8.979988E-6,5.261127E-5
18.460760,-4.552735E-5,2.016490E-5,4.979320E-5
18.513971,-3.716056E-5,2.898204E-5,4.712606E-5
18.567336,-2.745170E-5,3.515288E-5,4.460180E-5
18.620854,-1.711923E-5,3.858559E-5,4.221274E-5
18.674526,-2.235387E-5,4.192997E-5,4.751650E-5
18.728353,-2.850248E-5,4.525959E-5,5.348665E-5
18.782335,-3.567602E-5,4.849837E-5,6.020690E-5
18.836473,-4.399285E-5,5.155191E-5,6.777146E-5
18.890767,-5.361128E-6,5.115290E-5,5.143307E-5
18.945217,1.863133E-5,3.430002E-5,3.903355E-5
18.999824,2.639540E-5,1.344706E-5,2.962331E-5
19.054589,2.228952E-5,-2.933235E-6,2.248169E-5
19.109512,2.909413E-5,1.324965E-5,3.196907E-5
19.164592,2.511331E-5,3.789389E-5,4.546015E-5
19.219832,1.750628E-6,6.462082E-5,6.464453E-5
19.275231,-4.655834E-5,7.926217E-5,9.192481E-5
19.330789,-4.912688E-5,6.676568E-5,8.289214E-5
19.386508,-5.026918E-5,5.531841E-5,7.474702E-5
19.442387,-5.022981E-5,4.494478E-5,6.740228E-5
19.498427,-4.923033E-5,3.564398E-5,6.077926E-5
19.554629,-4.316893E-5,1.715056E-5,4.645103E-5
19.610993,-3.520255E-5,4.590353E-6,3.550058E-5
19.667519,-2.694024E-5,-3.216578E-6,2.713159E-5
19.724209,-1.935220E-5,-7.446729E-6,2.073551E-5
19.781061,-2.647262E-5,-2.043367E-6,2.655136E-5
19.838078,-3.322820E-5,7.195808E-6,3.399843E-5
19.895258,-3.813023E-5,2.100742E-5,4.353420E-5
19.952604,-3.908229E-5,3.974955E-5,5.574453E-5
20.010115,-4.293152E-5,3.887437E-5,5.791660E-5
20.067792,-4.687128E-5,3.773472E-5,6.017330E-5
20.125635,-5.088902E-5,3.631532E-5,6.251796E-5
20.183644,-5.497074E-5,3.460101E-5,6.495392E-5
20.241821,-4.978338E-5,4.080362E-5,6.436863E-5
20.300166,-4.391760E-5,4.626261E-5,6.378859E-5
20.358679,-3.747647E-5,5.090675E-5,6.321379E-5
20.417360,-3.057015E-5,5.467868E-5,6.264417E-5
20.476211,-3.645576E-5,5.511515E-5,6.608103E-5
20.535231,-4.268133E-5,5.511166E-5,6.970646E-5
20.594421,-4.922992E-5,5.461861E-5,7.353079E-5
20.653782,-5.607973E-5,5.358512E-5,7.756482E-5
20.713314,-5.212214E-5,5.229640E-5,7.383516E-5
20.773017,-4.838593E-5,5.097806E-5,7.028485E-5
20.832893,-4.486103E-5,4.963666E-5,6.690523E-5
20.892941,-4.153781E-5,4.827823E-5,6.368812E-5
20.953163,-4.499742E-5,4.244780E-5,6.185939E-5
21.013558,-4.775132E-5,3.646638E-5,6.008315E-5
21.074127,-4.980823E-5,3.041032E-5,5.835792E-5
21.134870,-5.118433E-5,2.435246E-5,5.668225E-5
21.195789,-4.683999E-5,3.281584E-5,5.719147E-5
21.256883,-4.109783E-5,4.050762E-5,5.770528E-5
21.318154,-3.409437E-5,4.719716E-5,5.822369E-5
21.379601,-2.600417E-5,5.267791E-5,5.874674E-5
21.441225,-3.116718E-5,5.884593E-5,6.659006E-5
21.503026,-3.721655E-5,6.566769E-5,7.548057E-5
21.565006,-4.429134E-5,7.320147E-5,8.555804E-5
21.627165,-5.255099E-5,8.150887E-5,9.698094E-5
21.689502,-6.329963E-5,6.332401E-5,8.953644E-5
21.752020,-6.945820E-5,4.481948E-5,8.266334E-5
21.814717,-7.141223E-5,2.692045E-5,7.631787E-5
21.877595,-6.968972E-5,1.038674E-5,7.045950E-5
21.940655,-6.301045E-5,1.473382E-5,6.471014E-5
22.003896,-5.657067E-5,1.821192E-5,5.942991E-5
22.067320,-5.041528E-5,2.091260E-5,5.458056E-5
22.130926,-4.457850E-5,2.292296E-5,5.012689E-5
22.194716,-4.544765E-5,2.795655E-5,5.335783E-5
22.258689,-4.596049E-5,3.336963E-5,5.679700E-5
22.322847,-4.606431E-5,3.915648E-5,6.045784E-5
22.387190,-4.570363E-5,4.530677E-5,6.435468E-5
