Hz,real,imaginary,V^2 (rms) 
9.99999046326,5.424984e-06,5.424984e-06,7.67208594846e-06
10.0577210151,5.542463e-06,5.542463e-06,7.83822634355e-06
10.1157848488,5.662488e-06,5.662488e-06,8.00796732637e-06
10.1741838887,5.78511e-06,5.78511e-06,8.18138102182e-06
10.2329200697,5.910391e-06,5.910391e-06,8.35855511113e-06
10.2919953382,6.110357e-06,6.110357e-06,8.64134974034e-06
10.3514116519,6.317089e-06,6.317089e-06,8.93371293852e-06
10.4111709795,6.530815e-06,6.530815e-06,9.23596714635e-06
10.4712753014,6.751775e-06,6.751775e-06,9.54845177509e-06
10.5317266092,7.098501e-06,7.098501e-06,1.00387963867e-05
10.592526906,7.463032e-06,7.463032e-06,1.05543210708e-05
10.6536782067,7.846282e-06,7.846282e-06,1.10963184186e-05
10.7151825375,8.249215e-06,8.249215e-06,1.16661517319e-05
10.7770419365,8.480376e-06,8.480376e-06,1.19930627532e-05
10.8392584537,8.718014e-06,8.718014e-06,1.23291336358e-05
10.9018341505,8.96231e-06,8.96231e-06,1.26746203522e-05
10.9647711006,9.213452e-06,9.213452e-06,1.30297887747e-05
11.0280713896,9.625928e-06,9.625928e-06,1.3613117928e-05
11.091737115,1.005687e-05,1.005687e-05,1.4222561949e-05
11.1557703865,1.05071e-05,1.05071e-05,1.48592833212e-05
11.2201733259,1.09775e-05,1.09775e-05,1.5524529381e-05
11.2849480674,1.134839e-05,1.134839e-05,1.60490470491e-05
11.3500967575,1.17318e-05,1.17318e-05,1.6591270671e-05
11.4156215548,1.212818e-05,1.212818e-05,1.71518366429e-05
11.4815246308,1.253794e-05,1.253794e-05,1.77313247922e-05
11.5478081693,1.312755e-05,1.312755e-05,1.85651592507e-05
11.6144743666,1.374488e-05,1.374488e-05,1.94381957092e-05
11.681525432,1.439123e-05,1.439123e-05,2.03522726452e-05
11.7489635872,1.506799e-05,1.506799e-05,2.13093558157e-05
11.816791067,1.56219e-05,1.56219e-05,2.209270285e-05
11.8850101189,1.619616e-05,1.619616e-05,2.29048291304e-05
11.9536230036,1.679153e-05,1.679153e-05,2.3746809459e-05
12.0226319946,1.740879e-05,1.740879e-05,2.46197469225e-05
12.0920393787,1.830892e-05,1.830892e-05,2.58927229764e-05
12.1618474559,1.925559e-05,1.925559e-05,2.72315165295e-05
12.2320585393,2.02512e-05,2.02512e-05,2.86395216943e-05
12.3026749556,2.12983e-05,2.12983e-05,3.01203447155e-05
12.3736990447,2.236868e-05,2.236868e-05,3.16340906284e-05
12.4451331602,2.349286e-05,2.349286e-05,3.32239212309e-05
12.5169796691,2.467353e-05,2.467353e-05,3.48936407576e-05
12.5892409524,2.591353e-05,2.591353e-05,3.6647265575e-05
12.6619194044,2.710193e-05,2.710193e-05,3.83279169725e-05
12.7350174335,2.834483e-05,2.834483e-05,4.00856430092e-05
12.808537462,2.964472e-05,2.964472e-05,4.19239650768e-05
12.8824819261,3.100424e-05,3.100424e-05,4.38466166991e-05
12.956853276,3.28118e-05,3.28118e-05,4.64028925659e-05
13.0316539763,3.472474e-05,3.472474e-05,4.91081982579e-05
13.1068865055,3.674921e-05,3.674921e-05,5.19712311885e-05
13.1825533567,3.88917e-05,3.88917e-05,5.50011696037e-05
13.2586570372,4.069813e-05,4.069813e-05,5.75558474092e-05
13.3352000689,4.258847e-05,4.258847e-05,6.02291918747e-05
13.4121849882,4.456661e-05,4.456661e-05,6.3026704291e-05
13.489614346,4.663665e-05,4.663665e-05,6.59541829336e-05
13.5674907083,4.979919e-05,4.979919e-05,7.04266898932e-05
13.6458166555,5.31762e-05,5.31762e-05,7.52025032355e-05
13.7245947832,5.678221e-05,5.678221e-05,8.03021714835e-05
13.8038277017,6.063275e-05,6.063275e-05,8.5747657374e-05
13.8835180367,6.366042e-05,6.366042e-05,9.00294293504e-05
13.9636684289,6.683929e-05,6.683929e-05,9.45250304174e-05
14.0442815341,7.017688e-05,7.017688e-05,9.9245095461e-05
14.1253600237,7.368112e-05,7.368112e-05,0.000104200839195
14.2069065844,8.117553e-05,8.117553e-05,0.000114799535459
14.2889239182,8.943223e-05,8.943223e-05,0.000126476272579
14.3714147431,9.852875e-05,9.852875e-05,0.000139340694534
14.4543817926,0.0001085506,0.0001085506,0.000153513730724
14.5378278159,0.0001127508,0.0001127508,0.000159453710528
14.6217555781,0.0001171135,0.0001171135,0.000165623500037
14.7061678604,0.0001216451,0.0001216451,0.000172032150216
14.7910674599,0.0001263519,0.0001263519,0.000178688570612
14.8764571899,0.0001361818,0.0001361818,0.000192590148508
14.9623398801,0.0001467764,0.0001467764,0.000207573175516
15.0487183762,0.0001581952,0.0001581952,0.000223721797342
15.1355955406,0.0001705024,0.0001705024,0.000241126806497
15.2229742522,0.0001809557,0.0001809557,0.000255910005129
15.3108574064,0.00019205,0.00019205,0.000271599714654
15.3992479154,0.0002038244,0.0002038244,0.000288251230823
15.4881487081,0.0002163206,0.0002163206,0.000305923526341
15.5775627305,0.0002137499,0.0002137499,0.000302288007536
15.6674929455,0.0002112098,0.0002112098,0.000298695763666
15.757942333,0.0002086999,0.0002086999,0.000295146229046
15.8489138904,0.0002062198,0.0002062198,0.00029163883799
15.9404106321,0.000205603,0.000205603,0.000290766551065
16.03243559,0.000204988,0.000204988,0.000289896809724
16.1249918136,0.0002043749,0.0002043749,0.000289029755389
16.2180823699,0.0002037636,0.0002037636,0.000288165246638
16.3117103437,0.0001878693,0.0001878693,0.000265687312014
16.4058788374,0.0001732148,0.0001732148,0.000244962719364
16.5005909715,0.0001597034,0.0001597034,0.000225854714237
16.5958498845,0.0001472459,0.0001472459,0.000208237148784
16.6916587331,0.0001388546,0.0001388546,0.000196370058518
16.7880206919,0.0001309414,0.0001309414,0.000185179103756
16.8849389541,0.0001234792,0.0001234792,0.000174625959311
16.9824167314,0.0001164423,0.0001164423,0.000164674279894
17.0804572538,0.0001142926,0.0001142926,0.000161634144999
17.17906377,0.0001121825,0.0001121825,0.000158650012961
17.2782395477,0.0001101114,0.0001101114,0.000155721035252
17.3779878732,0.0001080786,0.0001080786,0.000152846221922
17.4783120518,0.0001117561,0.0001117561,0.000158046992298
17.5792154079,0.0001155588,0.0001155588,0.000163424822212
17.6807012853,0.0001194909,0.0001194909,0.00016898565136
17.7827730468,0.0001235568,0.0001235568,0.000174735702283
17.8854340747,0.0001308166,0.0001308166,0.000185002609904
17.988687771,0.000138503,0.000138503,0.000195872821029
18.0925375572,0.000146641,0.000146641,0.000207381691
18.1969868745,0.0001552572,0.0001552572,0.000219566837896
18.302039184,0.0001772637,0.0001772637,0.000250688728656
18.4076979669,0.0002023896,0.0002023896,0.000286222117203
18.5139667243,0.0002310768,0.0002310768,0.00032679194451
18.6208489778,0.0002638303,0.0002638303,0.000373112388425
18.7283482689,0.0002638242,0.0002638242,0.000373103761722
18.83646816,0.0002638182,0.0002638182,0.000373095276441
18.9452122338,0.0002638121,0.0002638121,0.000373086649738
19.0545840938,0.0002638061,0.0002638061,0.000373078164457
19.1645873641,0.0002601043,0.0002601043,0.000367843028692
19.27522569,0.0002564545,0.0002564545,0.000362681432032
19.3865027376,0.0002528558,0.0002528558,0.000357592101685
19.4984221944,0.0002493077,0.0002493077,0.000352574330544
19.610987769,0.0002445375,0.0002445375,0.000345828249009
19.7242031915,0.0002398587,0.0002398587,0.000339211426593
19.8380722135,0.0002352693,0.0002352693,0.00033272103487
19.9525986083,0.0002307678,0.0002307678,0.000326354952519
20.0677861709,0.0002244554,0.0002244554,0.000317427870828
20.1836387183,0.0002183157,0.0002183157,0.000308745023819
20.3001600895,0.0002123439,0.0002123439,0.000300299623267
20.4173541456,0.0002065354,0.0002065354,0.00029208516379
20.5352247701,0.0001945544,0.0001945544,0.000275141471099
20.6537758689,0.0001832683,0.0001832683,0.000259180515413
20.7730113704,0.0001726369,0.0001726369,0.000244145445346
20.8929352257,0.0001626223,0.0001626223,0.000229982662204
21.0135514086,0.0001559209,0.0001559209,0.000220505451437
21.1348639161,0.0001494958,0.0001494958,0.000211418987878
21.2568767681,0.0001433353,0.0001433353,0.000202706725227
21.3795940077,0.0001374287,0.0001374287,0.000194353531399
21.5030197013,0.0001307056,0.0001307056,0.000184845632198
21.627157939,0.0001243114,0.0001243114,0.000175802867838
21.7520128342,0.0001182299,0.0001182299,0.000167202328058
21.8775885244,0.000112446,0.000112446,0.000159022658235
22.0038891706,0.0001080825,0.0001080825,0.000152851737355
22.1309189581,0.0001038883,0.0001038883,0.000146920242832
22.2586820963,9.985693e-05,9.985693e-05,0.000141219024703
22.3871828188,9.598191e-05,9.598191e-05,0.000135738918864
22.5164253838,9.262828e-05,9.262828e-05,0.000130996169835
22.646414074,8.939183e-05,8.939183e-05,0.000126419138351
22.7771531967,8.626845e-05,8.626845e-05,0.000122002011995
22.9086470844,8.325423e-05,8.325423e-05,0.000117739261191
23.0409000942,8.006128e-05,8.006128e-05,0.000113223747997
23.1739166087,7.699078e-05,7.699078e-05,0.000108881405254
23.3077010356,7.403803e-05,7.403803e-05,0.000104705586157
23.4422578082,7.119852e-05,7.119852e-05,0.000100689912605
23.5775913851,6.958462e-05,6.958462e-05,9.84075133366e-05
23.713706251,6.800731e-05,6.800731e-05,9.61768601425e-05
23.8506069163,6.646575e-05,6.646575e-05,9.39967650833e-05
23.9882979174,6.495913e-05,6.495913e-05,9.1866082646e-05
24.126783817,6.254017e-05,6.254017e-05,8.84451566071e-05
24.2660692042,6.021128e-05,6.021128e-05,8.51516087838e-05
24.4061586943,5.796913e-05,5.796913e-05,8.1980729845e-05
24.5470569295,5.581044e-05,5.581044e-05,7.892788117e-05
24.6887685789,5.348439e-05,5.348439e-05,7.56383497133e-05
24.8312983381,5.125527e-05,5.125527e-05,7.24858979771e-05
24.9746509303,4.911907e-05,4.911907e-05,6.94648549652e-05
25.1188311058,4.707189e-05,4.707189e-05,6.65697052445e-05
25.2638436421,4.459093e-05,4.459093e-05,6.30610979648e-05
25.4096933446,4.224074e-05,4.224074e-05,5.97374273927e-05
25.5563850463,4.001441e-05,4.001441e-05,5.65889213124e-05
25.7039236081,3.790543e-05,3.790543e-05,5.36063731936e-05
25.8523139189,3.507772e-05,3.507772e-05,4.96073873611e-05
26.001560896,3.246095e-05,3.246095e-05,4.59067157375e-05
26.151669485,3.003939e-05,3.003939e-05,4.24821127434e-05
26.30264466,2.779848e-05,2.779848e-05,3.93129874294e-05
26.4544914238,2.557136e-05,2.557136e-05,3.61633641203e-05
26.6072148082,2.352267e-05,2.352267e-05,3.32660789372e-05
26.760819874,2.163812e-05,2.163812e-05,3.06009227683e-05
26.9153117111,1.990455e-05,1.990455e-05,2.81492845629e-05
27.070695439,1.859462e-05,1.859462e-05,2.62967637912e-05
27.2269762066,1.73709e-05,1.73709e-05,2.45661623706e-05
27.3841591925,1.622771e-05,1.622771e-05,2.29494475683e-05
27.5422496054,1.515976e-05,1.515976e-05,2.14391381943e-05
27.7012526838,1.465683e-05,1.465683e-05,2.07278877674e-05
27.8611736966,1.417058e-05,1.417058e-05,2.00402264227e-05
28.0220179431,1.370046e-05,1.370046e-05,1.93753763428e-05
28.1837907532,1.324594e-05,1.324594e-05,1.87325879944e-05
28.3464974876,1.315572e-05,1.315572e-05,1.86049976468e-05
28.5101435378,1.306612e-05,1.306612e-05,1.84782841116e-05
28.6747343267,1.297713e-05,1.297713e-05,1.83524332467e-05
28.8402753081,1.288874e-05,1.288874e-05,1.82274309099e-05
29.0067719676,1.23419e-05,1.23419e-05,1.74540823655e-05
29.1742298225,1.181826e-05,1.181826e-05,1.67135435757e-05
29.3426544217,1.131684e-05,1.131684e-05,1.60044286112e-05
29.5120513464,1.083669e-05,1.083669e-05,1.53253939692e-05
29.6824262098,1.04428e-05,1.04428e-05,1.47683493891e-05
29.8537846576,1.006322e-05,1.006322e-05,1.42315422051e-05
30.0261323681,9.697447e-06,9.697447e-06,1.37142610678e-05
30.1994750524,9.344965e-06,9.344965e-06,1.32157762429e-05
30.3738184546,8.240957e-06,8.240957e-06,1.16544731563e-05
30.5491683518,7.267376e-06,7.267376e-06,1.02776217021e-05
30.7255305546,6.408813e-06,6.408813e-06,9.06343026331e-06
30.9029109071,5.651676e-06,5.651676e-06,7.99267684934e-06
31.0813152871,3.861294e-06,3.861294e-06,5.46069434311e-06
31.2607496065,2.638084e-06,2.638084e-06,3.73081417148e-06
31.441219811,1.802371e-06,1.802371e-06,2.54893751263e-06
