Frequency,Amplitude
20.165942,0.000773
20.672075,0.000782
21.903004,0.000840
22.639026,0.000891
23.789694,0.000945
24.656935,0.000990
25.767830,0.001063
26.780844,0.001127
27.680780,0.001196
28.848345,0.001283
29.899997,0.001377
30.989986,0.001461
32.297133,0.001549
32.835301,0.001703
33.474508,0.001827
34.220282,0.002008
35.175907,0.002155
36.058766,0.002368
37.167962,0.002602
38.100818,0.002826
39.164810,0.002997
40.258515,0.003255
40.704501,0.003576
41.268938,0.004023
42.188363,0.004689
42.891349,0.005338
43.726319,0.006445
44.700491,0.007251
45.696367,0.008352
46.843272,0.009508
47.623823,0.011081
48.684827,0.012915
49.769469,0.015594
51.159316,0.018175
52.155239,0.021687
53.464251,0.023276
54.806118,0.025879
55.873033,0.027775
57.275356,0.025277
58.874810,0.022204
60.186473,0.019277
62.037857,0.015052
63.245553,0.013223
65.011729,0.010204
66.643419,0.007968
68.882886,0.005935
71.393977,0.003976
75.437106,0.002927
77.117758,0.002340
80.592226,0.001605
84.455528,0.001038
86.099630,0.000945
91.983392,0.000633
99.084580,0.000549
102.132501,0.000494
106.147649,0.000335
111.542784,0.000219
115.927879,0.000169
118.837482,0.000129
120.817675,0.000109
126.261002,0.000074
130.144891,0.000056
136.759727,0.000063
139.422039,0.000069
144.107140,0.000078
148.539991,0.000071
151.015118,0.000060
153.109200,0.000047
153.954941,0.000063
155.660464,0.000080
156.951994,0.000117
158.254240,0.000167
161.334988,0.000256
163.122267,0.000152
164.475709,0.000097
164.475709,0.000055
166.756445,0.000018
167.216373,0.000010
171.886007,0.000006
183.127043,0.000106
187.723237,0.000112
191.905496,0.000135
197.264590,0.000112
211.909103,0.006370
216.630195,0.006756
219.634142,0.003412
228.268646,0.004369
244.540373,0.001283
251.369333,0.001513
255.557909,0.001361
264.145607,0.001643
270.030469,0.001410
275.287173,0.001568
280.646210,0.001253
286.898687,0.001329
298.177570,0.002080
312.471131,0.006295
319.432631,0.006677
331.077386,0.030881
338.453411,0.029460
349.826707,0.009396
352.729253,0.002695
358.606793,0.002482
364.582271,0.002826
377.872934,0.001806
388.425298,0.001915
400.373572,0.000870
