Frequency [Hz],Amplitude [g^2/Hz]
20.000000,0.008797
20.672483,0.009457
21.426547,0.010167
22.454288,0.010930
23.792164,0.012120
25.002183,0.013720
26.491868,0.015531
27.609968,0.016355
28.617089,0.017949
29.742802,0.021397
31.428210,0.025772
32.754650,0.029784
34.043123,0.035873
35.577842,0.042763
36.672910,0.049934
38.220705,0.070957
39.833826,0.086353
41.173205,0.107283
42.910937,0.133287
44.353782,0.154036
45.845141,0.138912
47.517420,0.133287
50.487561,0.097754
54.537756,0.062681
58.427790,0.039370
61.909046,0.024985
65.960287,0.016355
68.933884,0.012120
71.055634,0.008889
72.840096,0.007612
76.123846,0.005641
79.995343,0.004267
84.761641,0.004267
87.130105,0.003970
89.318255,0.003617
91.309367,0.003130
95.689092,0.002708
98.906558,0.002049
100.002911,0.001867
105.669683,0.001582
109.222738,0.001300
113.519245,0.000924
116.370121,0.000618
119.951934,0.000439
123.643994,0.000350
127.098933,0.000404
129.218065,0.000508
132.098637,0.000736
136.917160,0.000678
139.584148,0.000563
143.089608,0.000380
146.279409,0.000259
149.540319,0.000170
152.033618,0.000112
155.851729,0.000497
160.206637,0.000546
167.429012,0.000033
175.459873,0.000196
179.866301,0.000326
184.892240,0.000744
187.974965,0.001185
193.227482,0.000817
196.449181,0.001015
201.382726,0.005413
204.176924,0.009959
207.581184,0.016525
212.208653,0.018324
216.939280,0.016697
220.556328,0.011629
224.233684,0.015856
229.232376,0.016021
233.697557,0.009655
244.233021,0.005035
251.750390,0.007229
260.215288,0.006724
262.375617,0.007612
270.451405,0.006386
274.203934,0.007155
280.316581,0.007534
284.990324,0.009360
290.541605,0.010167
297.018456,0.022300
307.005456,0.023483
311.265175,0.060143
320.845759,0.076281
322.619103,0.131916
330.721228,0.129218
359.226788,0.009655
366.224109,0.013862
370.283606,0.017765
376.457378,0.016187
388.044544,0.005583
396.694963,0.001649
