Frequency [Hz],Amplitude [g^2/Hz]
20.110542,0.016632
20.901632,0.018543
21.783794,0.020880
22.765843,0.023050
23.989689,0.025954
26.201432,0.041720
27.686164,0.054488
29.416726,0.075513
31.083656,0.102602
31.952215,0.122591
35.187795,0.147930
38.965200,0.164929
43.029360,0.169895
45.718968,0.150885
47.911914,0.121385
51.898317,0.077787
56.371542,0.052375
60.226168,0.039708
63.814575,0.026736
68.178147,0.020880
76.544589,0.010979
84.063737,0.007248
94.901214,0.003849
100.002911,0.002805
104.511204,0.002418
111.965714,0.001418
116.049854,0.001247
118.310370,0.000983
121.951903,0.000873
128.154119,0.000831
132.463195,0.001054
136.540345,0.001054
138.816894,0.000856
142.303085,0.000502
147.493833,0.000269
152.453191,0.000269
155.851729,0.000807
160.206637,0.000612
163.327277,0.000124
167.429012,0.000126
172.107420,0.000338
173.536270,0.000420
176.429656,0.000522
177.404799,0.000745
184.383391,0.002394
187.974965,0.003385
191.636500,0.003006
196.449181,0.003452
198.626768,0.004977
202.495787,0.011536
202.495787,0.017303
208.154054,0.021509
212.208653,0.022599
219.949326,0.013648
224.233684,0.019873
229.232376,0.020674
236.940125,0.011422
244.907041,0.012241
253.141837,0.011422
258.784960,0.013648
264.553881,0.013648
268.964812,0.012001
278.008531,0.013118
283.423815,0.020674
292.147456,0.026736
295.385832,0.033897
297.838149,0.045155
306.160533,0.051349
308.702303,0.078560
313.849325,0.097653
314.715467,0.113267
319.962746,0.125040
327.095463,0.197061
330.721228,0.176750
337.163295,0.092942
340.900659,0.080926
342.784849,0.056687
346.584527,0.037792
355.288510,0.032582
359.226788,0.019292
366.224109,0.024218
372.330197,0.028937
378.538092,0.022823
380.630307,0.015520
386.976590,0.009189
391.266122,0.006967
392.345914,0.004691
399.988358,0.001797
